"Q_difficulty","Q_stage","Q_text","Q_A1","Q_A2","Q_A3","Q_A4","Q_answer","Q_image","Q_ID","Q_level"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","CAB","CBA","ACB","BAC","A3","Sign_A, Sign_C, Sign_B","1","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","C","B","A","A1","Sign_A","2","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","AC","BC","BA","AB","A2","Sign_B, Sign_C","3","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","C","C","A","B","A1","Sign_C","4","1"
"2","1","Which set of letters corresponds to these signs: Sign_C, Sign_B?","CB","CA","AC","BA","A1","Sign_C, Sign_B","5","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_B?","BC","AB","BA","AC","A2","Sign_A, Sign_B","6","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","BCA","BAC","ABC","ACB","A3","Sign_A, Sign_B, Sign_C","7","1"
"2","1","Which set of letters corresponds to these signs: Sign_C, Sign_A?","AC","CA","BA","CB","A2","Sign_C, Sign_A","8","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","A","B","C","C","A3","Sign_C","9","1"
"2","1","Which set of letters corresponds to these signs: Sign_C, Sign_B?","CA","BC","AB","CB","A4","Sign_C, Sign_B","10","1"
"2","1","Which set of letters corresponds to these signs: Sign_C, Sign_B?","AB","CB","BA","AC","A2","Sign_C, Sign_B","11","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","B","C","A","C","A2","Sign_C","12","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","C","B","A","A1","Sign_A","13","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_B?","CAB","BAC","ACB","CBA","A1","Sign_C, Sign_A, Sign_B","14","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","A","B","C","C","A3","Sign_C","15","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","AC","BC","CA","BA","A2","Sign_B, Sign_C","16","1"
