Q_text,Q_image,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_stage,Q_difficulty
What does this sign represent?,Sign_I,A2,You,Me/I,We,No,1,4
What does this sign represent?,Sign_I,A1,Me/I,You,We,No,1,4
What does this sign represent?,Sign_I,A2,We,Me/I,You,No,1,4
What does this sign represent?,Sign_I,A1,Me/I,We,You,No,1,4
What does this sign represent?,Sign_We,A2,Me/I,We,You,No,1,4
What does this sign represent?,Sign_We,A1,We,You,Me/I,No,1,4
What does this sign represent?,Sign_We,A3,Me/I,You,We,No,1,4
What does this sign represent?,Sign_We,A3,You,Me/I,We,No,1,4
What does this sign represent?,Sign_You,A3,Me/I,We,You,No,1,4
What does this sign represent?,Sign_You,A1,You,We,Me/I,No,1,4
What does this sign represent?,Sign_You,A3,We,Me/I,You,No,1,4
What does this sign represent?,Sign_I,A3,We,You,Me/I,No,1,4
What does this sign represent?,Sign_We,A2,Me/I,We,You,No,1,4
What does this sign represent?,Sign_We,A3,You,Me/I,We,No,1,4
What does this sign represent?,Sign_We,A2,You,We,Me/I,No,1,4
What does this sign represent?,Sign_No,A1,No,We,Yes,Me/I,2,4
What does this sign represent?,Sign_No,A2,Close,No,We,Yes,2,4
What does this sign represent?,Sign_Yes,A2,Close,Yes,You,We,2,4
What does this sign represent?,Sign_No,A1,No,We,Yes,Me/I,2,4
What does this sign represent?,Sign_Yes,A3,Me/I,No,Yes,You,2,4
What does this sign represent?,Sign_No,A2,You,No,Close,Me/I,2,4
What does this sign represent?,Sign_I,A2,We,Me/I,Close,You,2,4
What does this sign represent?,Sign_You,A4,No,We,Yes,You,2,4
What does this sign represent?,Sign_Close,A4,No,Yes,We,Close,2,4
What does this sign represent?,Sign_No,A4,Yes,We,Close,No,2,4
What does this sign represent?,Sign_You,A2,We,You,Yes,No,2,4
What does this sign represent?,Sign_Yes,A1,Yes,No,Me/I,You,2,4
What does this sign represent?,Sign_I,A3,Yes,We,Me/I,You,2,4
What does this sign represent?,Sign_Close,A2,No,Close,You,We,2,4
What does this sign represent?,Sign_You,A4,Close,No,Yes,You,2,4
What does this sign represent?,Sign_We,A1,We,Please,Yes,You,3,4
What does this sign represent?,Sign_I,A2,Please,Me/I,Yes,Thank_You,3,4
What does this sign represent?,Sign_Sorry,A1,Sorry,No,You,Please,3,4
