Q_text,Q_image,Q_Answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_difficulty,Q_stage
What does this mean: Sign_You Sign_Want Sign_Love?,Sign_You Sign_Want Sign_Love,A2,They love you,You want love,I need water now,I play with you,1,21
What does this mean: Sign_You Sign_Stop Sign_N Sign_O Sign_W?,Sign_You Sign_Stop Sign_N Sign_O Sign_W,A2,I feel sleepy,You stop now,We stop eating,We stop playing,1,21
What does this mean: Sign_We Sign_Drink Sign_W Sign_A Sign_T Sign_E Sign_R?,Sign_We Sign_Drink Sign_W Sign_A Sign_T Sign_E Sign_R,A1,We drink water,We play outside,You love me,You go there,1,21
What does this mean: Sign_We Sign_Stop Sign_N Sign_O Sign_W?,Sign_We Sign_Stop Sign_N Sign_O Sign_W,A1,We stop now,You want food,We help you,I feel bad now,1,21
What does this mean: Sign_T Sign_H Sign_E Sign_Y Sign_Want Sign_T Sign_O Sign_Play?,Sign_T Sign_H Sign_E Sign_Y Sign_Want Sign_T Sign_O Sign_Play,A3,I hurt myself,We drink water,They want to play,They stop playing,1,21
What does this mean: Sign_We Sign_Eat Sign_Eat?,Sign_We Sign_Eat Sign_Eat,A2,We play games,We eat food,You love food,I hurt myself,1,21
What does this mean: Sign_I Sign_Feel Sign_Bad Sign_N Sign_O Sign_W?,Sign_I Sign_Feel Sign_Bad Sign_N Sign_O Sign_W,A3,They go play,They love you,I feel bad now,We need help,1,21
What does this mean: Sign_You Sign_Play Sign_O Sign_U Sign_T Sign_S Sign_I Sign_D Sign_E?,Sign_You Sign_Play Sign_O Sign_U Sign_T Sign_S Sign_I Sign_D Sign_E,A3,They need love,I help you,You play outside,We help them,1,21
What does this mean: Sign_I Sign_Stop Sign_N Sign_O Sign_W?,Sign_I Sign_Stop Sign_N Sign_O Sign_W,A4,I love you,You want love,We stop playing,I stop now,1,21
What does this mean: Sign_I Sign_Hurt Sign_M Sign_Y Sign_S Sign_E Sign_L Sign_F?,Sign_I Sign_Hurt Sign_M Sign_Y Sign_S Sign_E Sign_L Sign_F,A2,Please help me,I hurt myself,They want food,You need sleep,1,21
What does this mean: Sign_I Sign_Need Sign_Eat Sign_N Sign_O Sign_W?,Sign_I Sign_Need Sign_Eat Sign_N Sign_O Sign_W,A4,You go to play,You want love,You go there,I need food now,1,22
What does this mean: Sign_I Sign_Feel Sign_Good?,Sign_I Sign_Feel Sign_Good,A1,I feel good,You go there,I want food,You help them,1,22
What does this mean: Sign_You Sign_Need Sign_Love?,Sign_You Sign_Need Sign_Love,A3,I love playing,We go eat,You need love,I think its good,1,22
What does this mean: Sign_You Sign_Stop Sign_Play?,Sign_You Sign_Stop Sign_Play,A4,You feel good,They need help,They want help,You stop playing,1,22
