Q_text,Q_Braille_Symbol,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_difficulty,Q_ID,Q_stage
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A1,1,a,b,c,1,1,1
Which set of letters corresponds to these signs: ⠃?,⠃,Q_A3,a,1,b,c,1,2,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A3,b,a,1,c,1,3,1
Which set of letters corresponds to these signs: ⠁?,⠁,Q_A2,c,a,1,b,1,4,1
Which set of letters corresponds to these signs: ⠁?,⠁,Q_A2,c,a,1,b,1,5,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A3,b,a,1,c,1,6,1
Which set of letters corresponds to these signs: ⠉?,⠉,Q_A4,b,a,1,c,1,7,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A4,b,c,a,1,1,8,1
Which set of letters corresponds to these signs: ⠃?,⠃,Q_A4,c,a,1,b,1,9,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A4,c,a,b,1,1,10,1
Which set of letters corresponds to these signs: ⠉?,⠉,Q_A1,c,b,1,a,1,11,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A4,b,c,a,1,1,12,1
Which set of letters corresponds to these signs: ⠃?,⠃,Q_A1,b,1,c,a,1,13,1
Which set of letters corresponds to these signs: ⠁?,⠁,Q_A2,c,a,1,b,1,14,1
Which set of letters corresponds to these signs: ⠁?,⠁,Q_A2,c,a,b,1,1,15,1
Which set of letters corresponds to these signs: ⠃?,⠃,Q_A2,1,b,c,a,1,16,1
Which set of letters corresponds to these signs: ⠉?,⠉,Q_A3,1,b,c,a,1,17,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A3,b,a,1,c,1,18,1
Which set of letters corresponds to these signs: ⠁?,⠁,Q_A1,a,b,c,1,1,19,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A2,a,1,c,b,1,20,1
Which set of letters corresponds to these signs: ⠉?,⠉,Q_A2,a,c,1,b,1,21,1
Which set of letters corresponds to these signs: ⠁?,⠁,Q_A1,a,1,b,c,1,22,1
Which set of letters corresponds to these signs: ⠃?,⠃,Q_A3,a,1,b,c,1,23,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A2,a,1,b,c,1,24,1
Which set of letters corresponds to these signs: ⠼⠁?,⠼⠁,Q_A1,1,a,c,b,1,25,1
Which set of letters corresponds to these signs: ⠃⠉?,⠃⠉,Q_A1,bc,cb,a1,c1,2,26,1
Which set of letters corresponds to these signs: ⠁⠃?,⠁⠃,Q_A4,ca,ac,a1,ab,2,27,1
Which set of letters corresponds to these signs: ⠼⠁⠉?,⠼⠁⠉,Q_A1,1c,c1,ca,cb,2,28,1
Which set of letters corresponds to these signs: ⠉⠼⠁?,⠉⠼⠁,Q_A4,ba,ca,cb,c1,2,29,1
Which set of letters corresponds to these signs: ⠉⠼⠁?,⠉⠼⠁,Q_A4,a1,ac,1a,c1,2,30,1
Which set of letters corresponds to these signs: ⠼⠁⠉?,⠼⠁⠉,Q_A4,bc,ac,ca,1c,2,31,1
Which set of letters corresponds to these signs: ⠃⠼⠁?,⠃⠼⠁,Q_A4,1b,ab,ca,b1,2,32,1
