Q_text,Q_Braille_Symbol,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_difficulty,Q_ID,Q_stage
What letter does this Braille pattern represent: '⠛'?,⠛,G,G,S,L,H,1,1,1
What letter does this Braille pattern represent: '⠧'?,⠧,V,W,X,Q,V,1,2,1
What letter does this Braille pattern represent: '⠋'?,⠋,F,E,C,R,F,1,3,1
What letter does this Braille pattern represent: '⠚'?,⠚,J,I,N,J,K,1,4,1
What letter does this Braille pattern represent: '⠟'?,⠟,Q,Q,E,C,U,1,5,1
What number does this Braille pattern represent: '⠼⠋'?,⠼⠋,6,4,7,6,1,2,6,1
What special character does this Braille pattern represent: '⠒'?,⠒,:,-,"""",:,(,2,7,1
What number does this Braille pattern represent: '⠼⠊'?,⠼⠊,9,5,8,9,2,2,8,1
What combination does this Braille pattern represent: '⠗⠤'?,⠗⠤,R-,:Y,2,-!,R-,3,9,1
What letter does this Braille pattern represent: '⠥'?,⠥,U,D,U,A,P,1,10,2
What letter does this Braille pattern represent: '⠥'?,⠥,U,U,F,G,W,1,11,2
What letter does this Braille pattern represent: '⠚'?,⠚,J,B,J,C,D,1,12,2
What letter does this Braille pattern represent: '⠅'?,⠅,K,H,X,K,L,1,13,2
What letter does this Braille pattern represent: '⠍'?,⠍,M,X,R,Z,M,1,14,2
What number does this Braille pattern represent: '⠼⠋'?,⠼⠋,6,4,3,6,5,2,15,2
What special character does this Braille pattern represent: '⠖'?,⠖,!,',:,.,!,2,16,2
What number does this Braille pattern represent: '⠼⠉'?,⠼⠉,3,1,4,3,6,2,17,2
What combination does this Braille pattern represent: '⠖ '?,⠖ ,! ,! ,:B,_B,;R,3,18,2
What letter does this Braille pattern represent: '⠗'?,⠗,R,F,Z,R,D,1,19,3
What letter does this Braille pattern represent: '⠍'?,⠍,M,E,M,L,B,1,20,3
What letter does this Braille pattern represent: '⠁'?,⠁,A,S,C,X,A,1,21,3
What letter does this Braille pattern represent: '⠭'?,⠭,X,W,X,I,S,1,22,3
What letter does this Braille pattern represent: '⠇'?,⠇,L,R,L,H,G,1,23,3
What number does this Braille pattern represent: '⠼⠑'?,⠼⠑,5,5,3,1,8,2,24,3
What special character does this Braille pattern represent: '⠒'?,⠒,:,:,_,(,",",2,25,3
What number does this Braille pattern represent: '⠼⠑'?,⠼⠑,5,7,2,5,4,2,26,3
What combination does this Braille pattern represent: '⠙⠺'?,⠙⠺,DW,WU,DW,XV,69,3,27,3
What letter does this Braille pattern represent: '⠭'?,⠭,X,X,G,Y,J,1,28,4
What letter does this Braille pattern represent: '⠛'?,⠛,G,X,G,D,U,1,29,4
What letter does this Braille pattern represent: '⠑'?,⠑,E,A,E,Z,K,1,30,4
What letter does this Braille pattern represent: '⠊'?,⠊,I,E,I,T,D,1,31,4
What letter does this Braille pattern represent: '⠧'?,⠧,V,R,V,Q,L,1,32,4
What number does this Braille pattern represent: '⠼⠋'?,⠼⠋,6,8,7,6,5,2,33,4
What special character does this Braille pattern represent: '⠲'?,⠲,.,.,"""",-,_,2,34,4
What number does this Braille pattern represent: '⠼⠉'?,⠼⠉,3,3,0,6,8,2,35,4
What combination does this Braille pattern represent: '⠽⠼⠑'?,⠽⠼⠑,Y5,OS,Y5,LX,EA,3,36,4
What letter does this Braille pattern represent: '⠝'?,⠝,N,F,G,N,C,1,37,5
What letter does this Braille pattern represent: '⠍'?,⠍,M,J,O,U,M,1,38,5
What letter does this Braille pattern represent: '⠍'?,⠍,M,D,G,N,M,1,39,5
What letter does this Braille pattern represent: '⠏'?,⠏,P,U,O,P,B,1,40,5
What letter does this Braille pattern represent: '⠏'?,⠏,P,W,F,P,O,1,41,5
What number does this Braille pattern represent: '⠼⠊'?,⠼⠊,9,9,6,5,2,2,42,5
What special character does this Braille pattern represent: '⠦'?,⠦,?,",",(,-,?,2,43,5
What number does this Braille pattern represent: '⠼⠙'?,⠼⠙,4,1,6,2,4,2,44,5
What combination does this Braille pattern represent: '⠚⠼⠑'?,⠚⠼⠑,J5,0V,PD,J5,I(,3,45,5
What letter does this Braille pattern represent: '⠇'?,⠇,L,L,E,T,N,1,46,6
What letter does this Braille pattern represent: '⠵'?,⠵,Z,Z,J,F,G,1,47,6
What letter does this Braille pattern represent: '⠙'?,⠙,D,C,B,W,D,1,48,6
What letter does this Braille pattern represent: '⠉'?,⠉,C,M,T,B,C,1,49,6
What letter does this Braille pattern represent: '⠚'?,⠚,J,J,G,M,Y,1,50,6
What number does this Braille pattern represent: '⠼⠁'?,⠼⠁,1,4,3,1,7,2,51,6
What special character does this Braille pattern represent: '⠒'?,⠒,:,;,.,:,_,2,52,6
What number does this Braille pattern represent: '⠼⠓'?,⠼⠓,8,1,8,7,9,2,53,6
What combination does this Braille pattern represent: '⠭⠅'?,⠭⠅,XK,Y-,HO,_-,XK,3,54,6
What letter does this Braille pattern represent: '⠺'?,⠺,W,W,C,O,T,1,55,7
What letter does this Braille pattern represent: '⠋'?,⠋,F,G,F,H,V,1,56,7
What letter does this Braille pattern represent: '⠓'?,⠓,H,H,U,D,Z,1,57,7
What letter does this Braille pattern represent: '⠺'?,⠺,W,C,W,H,D,1,58,7
What letter does this Braille pattern represent: '⠥'?,⠥,U,I,S,U,J,1,59,7
What number does this Braille pattern represent: '⠼⠑'?,⠼⠑,5,2,5,1,8,2,60,7
What special character does this Braille pattern represent: '⠲'?,⠲,.,"""",-,",",.,2,61,7
What number does this Braille pattern represent: '⠼⠓'?,⠼⠓,8,8,2,0,3,2,62,7
What combination does this Braille pattern represent: '⠛⠼⠃'?,⠛⠼⠃,G2,"3,","G""",",;",G2,3,63,7
What letter does this Braille pattern represent: '⠇'?,⠇,L,J,T,W,L,1,64,8
What letter does this Braille pattern represent: '⠎'?,⠎,S,Q,C,M,S,1,65,8
What letter does this Braille pattern represent: '⠵'?,⠵,Z,G,R,Z,F,1,66,8
What letter does this Braille pattern represent: '⠺'?,⠺,W,L,Z,E,W,1,67,8
What letter does this Braille pattern represent: '⠍'?,⠍,M,S,B,M,D,1,68,8
What number does this Braille pattern represent: '⠼⠓'?,⠼⠓,8,1,6,9,8,2,69,8
What special character does this Braille pattern represent: '⠒'?,⠒,:,_,!,;,:,2,70,8
What number does this Braille pattern represent: '⠼⠙'?,⠼⠙,4,6,5,8,4,2,71,8
What combination does this Braille pattern represent: '⠕⠊'?,⠕⠊,OI,_W,JR,OI,JV,3,72,8
What letter does this Braille pattern represent: '⠟'?,⠟,Q,F,X,Q,M,1,73,9
What letter does this Braille pattern represent: '⠓'?,⠓,H,H,I,Z,U,1,74,9
What letter does this Braille pattern represent: '⠏'?,⠏,P,X,Q,P,U,1,75,9
What letter does this Braille pattern represent: '⠭'?,⠭,X,D,X,A,F,1,76,9
What letter does this Braille pattern represent: '⠟'?,⠟,Q,P,O,F,Q,1,77,9
What number does this Braille pattern represent: '⠼⠓'?,⠼⠓,8,1,8,5,7,2,78,9
What special character does this Braille pattern represent: '⠐⠜'?,⠐⠜,),),(,?,',2,79,9
What number does this Braille pattern represent: '⠼⠉'?,⠼⠉,3,9,1,0,3,2,80,9
What combination does this Braille pattern represent: '⠐⠜⠐⠣'?,⠐⠜⠐⠣,)(,9A,-C,IM,)(,3,81,9
What letter does this Braille pattern represent: '⠑'?,⠑,E,W,E,R,Z,1,82,10
What letter does this Braille pattern represent: '⠥'?,⠥,U,G,F,V,U,1,83,10
What letter does this Braille pattern represent: '⠥'?,⠥,U,J,Z,U,M,1,84,10
What letter does this Braille pattern represent: '⠉'?,⠉,C,S,C,J,U,1,85,10
What letter does this Braille pattern represent: '⠎'?,⠎,S,E,I,S,U,1,86,10
What number does this Braille pattern represent: '⠼⠊'?,⠼⠊,9,3,0,9,1,2,87,10
What special character does this Braille pattern represent: '⠐⠣'?,⠐⠣,(,(,',:,?,2,88,10
What number does this Braille pattern represent: '⠼⠑'?,⠼⠑,5,5,4,2,0,2,89,10
What combination does this Braille pattern represent: '⠅⠓'?,⠅⠓,KH,KH,G!,6V,YS,3,90,10
What word does this Braille pattern represent: '⠵⠕⠕'?,⠵⠕⠕,ZOO,HIT,ZOO,HUG,EGG,1,101,11
What word does this Braille pattern represent: '⠓⠥⠛'?,⠓⠥⠛,HUG,BIT,GYM,MOM,HUG,1,102,11
What word does this Braille pattern represent: '⠞⠕⠏'?,⠞⠕⠏,TOP,TOP,ZIP,WIN,MAP,1,103,11
What word does this Braille pattern represent: '⠚⠁⠍'?,⠚⠁⠍,JAM,FLY,PIG,JAM,END,1,104,11
What word does this Braille pattern represent: '⠃⠑⠑'?,⠃⠑⠑,BEE,BOW,BEE,PEN,RUN,1,105,11
What word does this Braille pattern represent: '⠁⠝⠛⠇⠑'?,⠁⠝⠛⠇⠑,ANGLE,TEACH,AFTER,ARROW,ANGLE,2,106,11
What word does this Braille pattern represent: '⠏⠓⠕⠝⠑'?,⠏⠓⠕⠝⠑,PHONE,PHONE,WATER,LUNCH,BREAD,2,107,11
What word does this Braille pattern represent: '⠁⠗⠊⠎⠑'?,⠁⠗⠊⠎⠑,ARISE,AFTER,ALONG,PLAY,ARISE,2,108,11
What word does this Braille pattern represent: '⠋⠁⠧⠕⠗⠊⠞⠑'?,⠋⠁⠧⠕⠗⠊⠞⠑,FAVORITE,ADVENTURE,COURAGE,FAVORITE,REMEMBER,3,109,11
What word does this Braille pattern represent: '⠙⠕⠛'?,⠙⠕⠛,DOG,JAR,MAP,RAT,DOG,1,110,12
What word does this Braille pattern represent: '⠛⠑⠞'?,⠛⠑⠞,GET,YET,GET,DUG,EAR,1,111,12
What word does this Braille pattern represent: '⠞⠕⠏'?,⠞⠕⠏,TOP,COW,TOP,SAD,SUN,1,112,12
What word does this Braille pattern represent: '⠎⠅⠽'?,⠎⠅⠽,SKY,COW,ACT,SKY,SAD,1,113,12
What word does this Braille pattern represent: '⠋⠁⠗'?,⠋⠁⠗,FAR,FLU,BIT,YET,FAR,1,114,12
What word does this Braille pattern represent: '⠁⠝⠛⠑⠗'?,⠁⠝⠛⠑⠗,ANGER,HOME,TABLE,DANCE,ANGER,2,115,12
What word does this Braille pattern represent: '⠏⠁⠏⠑⠗'?,⠏⠁⠏⠑⠗,PAPER,BACON,PAPER,ALARM,ABOUT,2,116,12
What word does this Braille pattern represent: '⠓⠕⠥⠎⠑'?,⠓⠕⠥⠎⠑,HOUSE,ARGUE,AUGUST,HOUSE,ARRAY,2,117,12
What word does this Braille pattern represent: '⠉⠓⠁⠇⠇⠑⠝⠛⠑'?,⠉⠓⠁⠇⠇⠑⠝⠛⠑,CHALLENGE,COMMUNITY,COURAGE,CHALLENGE,BLUEPRINT,3,118,12
What word does this Braille pattern represent: '⠇⠊⠙'?,⠇⠊⠙,LID,TOP,LID,BOX,INK,1,119,13
What word does this Braille pattern represent: '⠙⠥⠛'?,⠙⠥⠛,DUG,DUG,BEE,GUN,MOM,1,120,13
What word does this Braille pattern represent: '⠝⠁⠏'?,⠝⠁⠏,NAP,SIT,YET,DIM,NAP,1,121,13
What word does this Braille pattern represent: '⠃⠥⠎'?,⠃⠥⠎,BUS,DAD,TIP,LID,BUS,1,122,13
What word does this Braille pattern represent: '⠛⠁⠎'?,⠛⠁⠎,GAS,GAS,END,PEN,NAP,1,123,13
What word does this Braille pattern represent: '⠃⠁⠉⠕⠝'?,⠃⠁⠉⠕⠝,BACON,DREAM,ABOUT,BACON,AUGUST,2,124,13
What word does this Braille pattern represent: '⠉⠇⠕⠥⠙'?,⠉⠇⠕⠥⠙,CLOUD,CLOUD,AUGUST,BEACH,BREAD,2,125,13
What word does this Braille pattern represent: '⠍⠕⠝⠑⠽'?,⠍⠕⠝⠑⠽,MONEY,MONEY,ALBUM,HOME,FAMILY,2,126,13
What word does this Braille pattern represent: '⠛⠑⠝⠑⠗⠕⠥⠎'?,⠛⠑⠝⠑⠗⠕⠥⠎,GENEROUS,DECISION,GENEROUS,CAMPAIGN,DANGEROUS,3,127,13
What word does this Braille pattern represent: '⠁⠝⠞'?,⠁⠝⠞,ANT,LEG,FOX,ANT,SIT,1,128,14
What word does this Braille pattern represent: '⠋⠇⠥'?,⠋⠇⠥,FLU,FLU,DAY,SKY,DEW,1,129,14
What word does this Braille pattern represent: '⠎⠥⠝'?,⠎⠥⠝,SUN,SUN,FOX,END,RIM,1,130,14
What word does this Braille pattern represent: '⠽⠑⠞'?,⠽⠑⠞,YET,DEW,YET,END,BUS,1,131,14
What word does this Braille pattern represent: '⠕⠺⠇'?,⠕⠺⠇,OWL,GYM,OWL,FAN,FLY,1,132,14
What word does this Braille pattern represent: '⠁⠗⠛⠥⠑'?,⠁⠗⠛⠥⠑,ARGUE,HAPPY,WRITE,ARGUE,ANGLE,2,133,14
What word does this Braille pattern represent: '⠏⠓⠕⠝⠑'?,⠏⠓⠕⠝⠑,PHONE,PHONE,THINK,ARISE,CHILD,2,134,14
What word does this Braille pattern represent: '⠁⠇⠃⠥⠍'?,⠁⠇⠃⠥⠍,ALBUM,ALBUM,PAPER,TABLE,DREAM,2,135,14
